row_num,province_0,province_1,province_2,province_3,province_4,province_5
0,0,8,28,44,43,45
1,7,10,31,40,41,38
2,1,12,31,29,38,40
3,4,9,23,39,47,35
4,3,11,30,45,28,30
5,0,6,24,44,37,37
6,1,8,35,34,36,34
7,2,5,20,35,27,38
8,1,13,20,39,33,29
9,6,7,19,39,41,44
10,2,8,29,34,41,35
11,2,12,21,47,34,30
12,0,12,35,43,36,20
13,1,15,24,36,38,34
14,1,10,25,40,45,33
15,3,8,17,43,36,32
16,3,15,31,36,43,35
17,3,9,30,36,36,33
18,0,11,25,42,38,36
19,0,10,21,35,33,29
20,1,3,21,31,36,29
21,2,16,23,35,39,35
22,2,7,27,36,27,31
23,3,12,22,36,38,40
24,1,7,22,39,35,25
25,1,13,29,35,35,41
26,2,13,28,30,50,38
27,0,11,26,40,38,40
28,1,9,33,35,43,29
29,2,11,18,40,40,28
30,4,11,21,54,31,39
31,2,9,25,41,35,37
32,2,13,18,38,38,37
33,1,13,30,27,42,35
34,4,12,18,49,44,27
35,4,10,30,37,49,33
36,3,14,28,40,28,22
37,0,6,27,29,36,40
38,0,11,21,34,55,27
39,1,7,23,41,37,36
40,0,10,27,37,32,21
41,0,3,25,34,44,24
42,1,5,26,30,37,27
43,0,10,27,44,36,35
44,0,13,31,36,47,24
45,3,11,22,34,42,39
46,1,13,25,33,44,32
47,1,7,32,30,50,39
48,0,10,21,35,32,36
49,0,4,22,18,36,36
50,0,7,17,28,41,29
51,6,6,21,32,42,35
52,3,11,16,48,45,36
53,0,10,25,32,38,38
54,1,9,21,33,41,40
55,2,9,24,46,49,36
56,3,13,25,38,44,48
57,3,7,27,34,38,37
58,1,8,22,44,39,40
59,2,9,25,49,45,35
60,1,11,23,53,46,26
61,1,14,25,40,28,37
62,2,7,23,28,44,38
63,3,11,27,36,38,39
64,2,15,22,38,47,32
65,2,7,30,42,26,38
66,2,8,18,35,39,36
67,5,6,22,33,50,32
68,1,11,13,37,39,37
69,1,4,25,30,47,25
70,3,10,23,37,35,37
71,1,8,22,30,33,34
72,2,10,19,36,44,28
73,2,7,21,37,33,48
74,1,5,22,34,39,35
75,0,16,27,28,49,22
76,2,2,33,38,31,32
77,5,4,20,42,32,32
78,3,9,20,38,31,37
79,1,13,26,27,36,36
80,1,15,23,39,40,27
81,0,14,24,40,34,40
82,2,10,23,39,28,40
83,2,12,25,32,43,34
84,0,15,28,27,40,41
85,1,8,16,42,42,30
86,6,12,28,45,40,42
87,0,9,21,30,43,40
88,3,5,25,44,36,33
89,4,13,22,30,37,34
90,0,16,36,33,32,34
91,2,14,25,33,42,42
92,1,9,35,38,41,34
93,4,9,27,33,44,34
94,2,11,18,40,34,35
95,0,9,19,34,35,39
96,1,8,27,46,41,32
97,1,8,28,40,39,38
98,2,10,23,37,41,39
99,2,5,31,37,30,29
100,1,10,12,39,43,43
101,3,10,35,35,40,41
102,1,10,21,40,38,43
103,2,14,13,32,42,38
104,3,5,26,30,35,38
105,6,9,24,28,36,37
106,1,13,22,39,38,22
107,2,9,23,43,34,40
108,2,8,24,46,34,27
109,1,15,34,37,44,32
110,0,15,18,30,35,42
111,1,8,26,41,36,40
112,1,8,22,38,34,26
113,4,9,22,35,36,37
114,2,9,19,33,28,35
115,2,8,27,38,25,31
116,1,6,20,47,43,29
117,4,11,23,35,44,30
118,1,13,31,28,33,37
119,2,10,18,35,40,24
120,3,7,22,40,34,29
121,1,12,20,40,45,45
122,0,12,25,41,32,27
123,1,6,16,40,31,26
124,3,11,22,25,38,47
125,2,16,19,34,42,33
126,0,13,30,37,51,34
127,2,4,27,32,37,29
128,1,11,23,32,48,37
129,1,10,28,28,26,35
130,2,14,27,37,36,47
131,3,10,24,39,39,27
132,3,11,24,41,39,30
133,2,13,28,54,37,23
134,1,9,27,33,37,29
135,1,7,19,37,31,27
136,2,10,21,48,29,26
137,1,11,26,38,36,23
138,4,19,23,42,41,27
139,3,9,21,32,41,32
140,2,9,29,39,47,37
141,2,13,23,40,38,53
142,0,11,17,38,37,34
143,2,8,23,46,39,27
144,2,6,20,31,26,22
145,0,9,17,29,40,36
146,1,5,16,40,43,44
147,3,13,12,50,56,38
148,1,9,18,35,35,34
149,1,9,21,30,37,33
150,2,7,27,47,30,27
151,2,5,27,34,50,35
152,1,8,21,38,36,35
153,0,8,29,31,42,24
154,2,3,25,33,30,24
155,1,8,33,30,46,28
156,2,11,24,32,42,35
157,3,14,24,32,41,26
158,0,4,18,36,33,39
159,1,9,22,47,30,41
160,1,17,22,33,45,29
161,3,7,23,36,33,34
162,2,4,17,45,44,35
163,2,11,17,32,40,37
164,2,9,25,46,38,41
165,5,2,23,50,41,31
166,3,7,21,37,37,25
167,1,9,13,44,39,40
168,3,6,19,45,34,40
169,1,9,31,42,49,38
170,1,7,31,32,44,37
171,1,11,18,48,39,34
172,4,8,23,41,34,34
173,1,8,37,34,36,33
174,3,13,16,42,42,32
175,2,3,19,34,45,37
176,2,11,15,31,35,37
177,1,13,21,39,40,23
178,0,6,25,36,32,38
179,2,8,21,40,43,35
180,2,6,22,41,45,34
181,2,10,20,34,41,37
182,1,8,26,36,47,39
183,3,11,26,37,46,35
184,1,6,27,47,45,40
185,2,9,23,37,50,30
186,1,14,31,37,38,30
187,3,3,28,33,48,39
188,4,8,28,30,35,31
189,2,10,22,42,49,40
190,1,6,26,43,48,22
191,0,6,24,42,37,35
192,2,7,23,34,29,29
193,3,16,23,33,39,22
194,3,10,27,36,43,26
195,1,12,29,29,34,37
196,1,19,24,38,28,32
197,0,5,27,26,40,41
198,1,13,28,35,41,45
199,1,7,22,40,35,29
200,4,3,24,35,43,35
201,2,5,22,33,55,38
202,1,11,20,47,28,38
203,2,19,27,34,37,21
204,2,15,30,47,33,33
205,1,9,29,43,39,42
206,0,11,35,39,42,27
207,1,8,22,32,41,36
208,2,10,25,31,35,36
